,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
347,Berlin,493.0,83.0,4.0,Berlin,400.0,,2.0
348,Berlin,450.0,46.0,1.0,Berlin,1000.0,,
349,Berlin,1207.0,80.0,3.0,Berlin,900.0,,
350,Berlin,479.0,73.0,2.0,Berlin,900.0,,4.0
351,Berlin,634.0,70.0,2.0,Berlin,1300.0,,3.0
352,Berlin,566.0,72.0,3.0,Berlin,1200.0,,
353,Berlin,354.0,42.0,,Berlin,600.0,,1.0
354,Berlin,700.0,60.0,2.0,Berlin,500.0,,1.0
355,Berlin,345.0,36.0,1.0,Berlin,1500.0,,2.0
356,Berlin,785.0,72.0,3.0,Berlin,650.0,,2.0
357,Berlin,670.0,34.0,1.0,Berlin,1200.0,,2.0
358,Berlin,685.0,95.0,,Berlin,1000.0,,
359,Berlin,818.0,74.0,2.0,Berlin,1300.0,,2.0
360,Berlin,2000.0,115.0,,Berlin,2000.0,,1.0
361,Berlin,750.0,42.0,2.0,Berlin,1000.0,,2.0
362,Berlin,800.0,65.0,2.0,Berlin,1000.0,,3.0
363,Berlin,496.0,82.0,,Berlin,1300.0,,4.0
364,Berlin,840.0,94.0,3.0,Berlin,1400.0,,4.0
365,Berlin,840.0,83.0,3.0,Berlin,1400.0,,4.0
366,Berlin,525.0,52.0,2.0,Berlin,1100.0,,3.0
367,Berlin,880.0,63.0,3.0,Berlin,1700.0,,
368,Berlin,550.0,40.0,,Berlin,650.0,,2.0
369,Berlin,1350.0,100.0,3.0,Berlin,1300.0,,
370,Berlin,689.0,60.0,2.0,Berlin,1900.0,,3.0
371,Berlin,975.0,64.0,2.0,Berlin,1200.0,,3.0
372,Berlin,1000.0,100.0,,Berlin,1000.0,,2.0
373,Berlin,950.0,95.0,,Berlin,2700.0,,
374,Berlin,640.0,55.0,2.0,Berlin,2000.0,,3.0
375,Berlin,948.0,96.0,3.0,Berlin,800.0,,
376,Berlin,1180.0,104.0,3.0,Berlin,1400.0,,
377,Berlin,641.0,70.0,2.0,Berlin,1100.0,,
378,Berlin,730.0,83.0,3.0,Berlin,1500.0,,4.0
379,Berlin,1500.0,65.0,2.0,Berlin,1500.0,,2.0
380,Berlin,900.0,72.0,3.0,Berlin,500.0,,1.0
381,Berlin,499.0,61.0,2.0,Berlin,2000.0,,
382,Berlin,1160.0,97.0,3.0,Berlin,550.0,,
383,Berlin,990.0,100.0,3.0,Berlin,1000.0,,1.0
384,Berlin,800.0,74.0,2.0,Berlin,800.0,,
385,Berlin,395.0,60.0,2.0,Berlin,1700.0,,3.0
386,Berlin,600.0,75.0,,Berlin,700.0,,3.0
387,Berlin,510.0,60.0,2.0,Berlin,1600.0,,3.0
388,Berlin,800.0,85.0,,Berlin,1500.0,,3.0
389,Berlin,384.0,50.0,,Berlin,700.0,,2.0
390,Berlin,780.0,80.0,,Berlin,1000.0,,2.0
391,Berlin,450.0,78.0,2.0,Berlin,1000.0,,
392,Berlin,450.0,72.0,,Berlin,1300.0,,4.0
393,Berlin,2000.0,156.0,5.0,Berlin,1800.0,,4.0
394,Berlin,370.0,36.0,1.0,Berlin,750.0,,2.0
395,Berlin,415.0,33.0,1.0,Berlin,3000.0,,1.0
396,Berlin,506.0,57.0,2.0,Berlin,2000.0,,4.0
397,Berlin,683.0,70.0,3.0,Berlin,800.0,,2.0
398,Berlin,560.0,49.0,,Berlin,900.0,,2.0
399,Berlin,1590.0,131.0,5.0,Berlin,1500.0,,3.0
400,Berlin,700.0,60.0,2.0,Berlin,1500.0,,3.0
401,Berlin,395.0,63.0,,Berlin,800.0,,2.0
402,Berlin,550.0,77.0,3.0,Berlin,1500.0,,4.0
403,Berlin,518.0,78.0,3.0,Berlin,1200.0,,3.0
404,Berlin,700.0,60.0,,Berlin,1800.0,,3.0
405,Berlin,530.0,47.0,2.0,Berlin,900.0,,
406,Berlin,420.0,40.0,1.0,Berlin,550.0,,1.0
407,Berlin,870.0,70.0,2.0,Berlin,1500.0,,
408,Berlin,1100.0,87.0,3.0,Berlin,1800.0,,3.0
409,Berlin,1800.0,112.0,5.0,Berlin,1000.0,,2.0
410,Berlin,800.0,74.0,3.0,Berlin,2000.0,,5.0
411,Berlin,615.0,82.0,3.0,Berlin,500.0,,2.0
412,Berlin,935.0,94.0,,Berlin,2000.0,,4.0
413,Berlin,845.0,77.0,2.0,Berlin,1600.0,,3.0
