,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
245,Berlin,570 €,67 m²,2,Berlin,1.300 €,70 m²,3
246,Berlin,1600 €,130 m²,4,Berlin,2.000 €,100 m²,4
247,Berlin,620 €,119 m²,4,Berlin,1.200 €,80 m²,3
248,Berlin,402 €,65 m²,2,Berlin,1.300 €,80 m²,3
249,Berlin,763 €,81 m²,"2,5",Berlin,1.600 €,100 m²,4
250,Berlin,1730 €,100 m²,"3,5",Berlin,1.500 €,59 m²,1
251,Berlin,1400 €,97 m²,"3,5",Berlin,900 €,70 m²,"2,5"
252,Berlin,708 €,56 m²,2,Berlin,2.000 €,68 m²,"2,5"
253,Berlin,678 €,73 m²,2,Berlin,700 €,50 m²,2
254,Berlin,600 €,60 m²,2,Berlin,800 €,40 m²,"1,5"
255,Berlin,1050 €,133 m²,3,Berlin,1.000 €,50 m²,2
256,Berlin,1250 €,94 m²,3,Berlin,900 €,70 m²,2
257,Berlin,610 €,80 m²,2,Berlin,1.400 €,90 m²,"2,5"
258,Berlin,392 €,66 m²,"2,5",Berlin,1.100 €,70 m²,"2,5"
259,Berlin,800 €,70 m²,2,Berlin,1.300 €,70 m²,3
260,Berlin,260 €,39 m²,1,Berlin,450 €,55 m²,2
261,Berlin,436 €,75 m²,"2,5",Berlin,1.200 €,70 m²,"3,5"
262,Berlin,950 €,73 m²,3,Berlin,1.600 €,80 m²,"3,5"
263,Berlin,650 €,60 m²,2,Berlin,1.200 €,80 m²,3
264,Berlin,550 €,86 m²,3,Berlin,1.200 €,80 m²,"3,5"
265,Berlin,790 €,60 m²,2,Berlin,1.250 €,50 m²,"1,5"
266,Berlin,595 €,65 m²,2,Berlin,1.200 €,80 m²,"3,5"
267,Berlin,1 €,58 m²,3,Berlin,2.500 €,100 m²,6
268,Berlin,400 €,50 m²,2,Berlin,900 €,80 m²,3
269,Berlin,580 €,60 m²,2,Berlin,1.500 €,75 m²,3
270,Berlin,1300 €,90 m²,3,Berlin,1.000 €,70 m²,2
271,Berlin,507 €,62 m²,2,Berlin,2.000 €,80 m²,3
272,Berlin,1200 €,80 m²,3,Berlin,1.400 €,90 m²,4
273,Berlin,900 €,77 m²,3,Berlin,1.100 €,70 m²,"2,5"
274,Berlin,1560 €,102 m²,"3,5",Berlin,1.700 €,100 m²,4
275,Berlin,720 €,77 m²,2,Berlin,1.000 €,75 m²,"2,5"
276,Berlin,386 €,55 m²,2,Berlin,1.200 €,65 m²,3
277,Berlin,520 €,53 m²,2,Berlin,1.300 €,75 m²,3
278,Berlin,550 €,42 m²,"1,5",Berlin,1.200 €,45 m²,2
279,Berlin,1580 €,70 m²,2,München,2.000 €,45 m²,1
280,Berlin,1610 €,105 m²,3,Berlin,1.000 €,60 m²,1
281,Berlin,346 €,55 m²,2,Berlin,1.000 €,65 m²,3
282,Berlin,1305 €,119 m²,"3,5",Berlin,800 €,70 m²,2
283,Berlin,750 €,55 m²,2,Berlin,800 €,45 m²,"1,5"
284,Berlin,400 €,58 m²,2,Berlin,500 €,50 m²,"1,5"
285,Berlin,549 €,60 m²,2,Berlin,2.000 €,80 m²,2
286,Berlin,550 €,86 m²,4,Berlin,1.500 €,80 m²,"3,5"
287,Berlin,570 €,56 m²,2,Berlin,800 €,40 m²,1
288,Berlin,1300 €,93 m²,2,Berlin,2.000 €,100 m²,"3,5"
289,Berlin,450 €,66 m²,2,Berlin,800 €,65 m²,3
290,Berlin,950 €,90 m²,4,Berlin,1.500 €,100 m²,"4,5"
291,Berlin,633 €,75 m²,2,Berlin,1.200 €,70 m²,2
292,Berlin,970 €,65 m²,2,Berlin,1.800 €,75 m²,"3,5"
293,Berlin,580 €,67 m²,3,Berlin,1.200 €,80 m²,3
294,Berlin,500 €,71 m²,2,Berlin,1.300 €,75 m²,3
295,Berlin,600 €,52 m²,2,Berlin,500 €,40 m²,1
296,Berlin,1200 €,64 m²,2,Berlin,1.900 €,78 m²,3
297,Berlin,700 €,68 m²,2,Berlin,900 €,80 m²,"3,5"
298,Berlin,1000 €,80 m²,3,Berlin,2.000 €,125 m²,4
299,Berlin,1400 €,105 m²,3,Berlin,800 €,50 m²,2
300,Berlin,390 €,45 m²,1,Berlin,1.500 €,70 m²,3
301,Berlin,800 €,69 m²,2,Berlin,1.200 €,72 m²,"2,5"
302,Berlin,550 €,80 m²,4,Berlin,1.500 €,110 m²,"4,5"
303,Berlin,775 €,85 m²,3,Berlin,1.700 €,110 m²,3
304,Berlin,865 €,122 m²,3,Berlin,1.800 €,140 m²,5
305,Berlin,1000 €,100 m²,"3,5",Berlin,2.000 €,120 m²,4
306,Berlin,1100 €,94 m²,4,Berlin,1.400 €,68 m²,2
307,Berlin,2480 €,221 m²,6,Berlin,2.000 €,85 m²,3
308,Berlin,920 €,77 m²,3,Berlin,700 €,40 m²,1
309,Berlin,600 €,45 m²,1,Berlin,1.500 €,65 m²,2
310,Berlin,392 €,52 m²,2,Berlin,850 €,80 m²,3
311,Berlin,1250 €,90 m²,3,Berlin,1.000 €,50 m²,2
312,Berlin,350 €,38 m²,"1,5",Berlin,1.200 €,55 m²,2
313,Berlin,554 €,56 m²,2,Berlin,1.000 €,75 m²,"2,5"
314,Berlin,480 €,64 m²,2,Berlin,1.200 €,80 m²,3
315,Berlin,670 €,53 m²,2,Berlin,1.000 €,65 m²,2
